Year,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB
1992,TOT,MLB,102,343,305,52,73,21,2,11,50,2,3,27,76,.239,.312,.430,.741,105,131,5,7,0,4,0
1992,TOR,AL,65,222,192,36,46,13,1,8,35,2,1,20,47,.240,.324,.443,.767,110,85,3,6,0,4,0
1992,NYM,NL,37,121,113,16,27,8,1,3,15,0,2,7,29,.239,.289,.407,.696,97,46,2,1,0,0,0
1993,NYM,NL,140,544,496,65,134,24,0,21,80,4,4,30,88,.270,.320,.446,.765,105,221,11,8,6,4,2
1994,NYM,NL,107,452,415,53,121,24,5,14,68,1,4,23,84,.292,.341,.475,.816,111,197,7,10,1,3,3
1995,NYM,NL,125,514,472,65,131,22,3,20,65,3,3,29,89,.278,.327,.464,.791,110,219,9,8,1,4,3
1996,TOT,MLB,128,477,437,61,124,27,1,12,55,6,4,31,78,.284,.330,.432,.762,101,189,8,2,1,6,1
1996,NYM,NL,89,361,335,45,97,20,1,9,39,4,3,21,56,.290,.331,.436,.766,105,146,7,1,1,3,1
1996,CLE,AL,39,116,102,16,27,7,0,3,16,2,1,10,22,.265,.328,.422,.749,89,43,1,1,0,3,0
1997,SFG,NL,155,651,580,90,145,38,2,29,121,11,3,48,133,.250,.316,.472,.789,105,274,14,13,0,10,6
1998,SFG,NL,137,594,526,94,156,37,3,31,128,9,4,48,110,.297,.359,.555,.914,142,292,16,9,1,10,4
1999,SFG,NL,138,585,511,86,148,40,2,23,101,13,6,61,112,.290,.366,.511,.877,125,261,12,5,0,8,3
2000,SFG,NL,159,695,587,114,196,41,7,33,125,12,9,90,107,.334,.424,.596,1.021,162,350,17,9,0,9,6
2001,SFG,NL,159,696,607,84,181,49,6,22,106,7,6,65,96,.298,.369,.507,.877,131,308,11,11,0,13,4
2002,SFG,NL,152,682,623,102,195,42,2,37,108,5,1,52,101,.313,.368,.565,.933,147,352,20,4,0,3,3
2003,HOU,NL,130,552,505,77,150,39,1,22,93,6,2,39,85,.297,.351,.509,.860,119,257,13,5,0,3,2
2004,HOU,NL,145,606,540,96,156,34,8,27,107,7,3,49,96,.289,.348,.531,.880,123,287,23,6,0,11,3
2005,LAD,NL,149,637,553,100,160,36,0,29,105,6,2,72,85,.289,.377,.512,.889,133,283,19,8,0,4,8
2006,LAD,NL,115,473,407,61,119,27,3,14,68,1,2,55,69,.292,.385,.477,.861,119,194,9,8,0,3,8
2007,LAD,NL,136,562,494,78,149,36,1,20,79,1,3,57,61,.302,.375,.500,.875,123,247,17,5,0,6,4
2008,LAD,NL,121,474,440,42,123,23,1,12,59,0,1,25,52,.280,.327,.418,.745,96,184,13,7,0,2,1
